secID,publishDate,endDate,cashCEquiv,fixedAssets,TAssets,TLiab,TShEquity,retainedEarnings,paidInCapital,AR,inventories,TCA,TCL
000001.XSHE,2025-10-25,2024-12-31,268973000000.0,8634000000.0,5769270000000.0,5274428000000.0,494842000000.0,243605000000.0,19406000000.0,,,,
000001.XSHE,2025-08-23,2024-12-31,268973000000.0,8634000000.0,5769270000000.0,5274428000000.0,494842000000.0,243605000000.0,19406000000.0,,,,
000001.XSHE,2025-04-19,2024-12-31,268973000000.0,8634000000.0,5769270000000.0,5274428000000.0,494842000000.0,243605000000.0,19406000000.0,,,,
000001.XSHE,2025-03-15,2024-12-31,268973000000.0,8634000000.0,5769270000000.0,5274428000000.0,494842000000.0,243605000000.0,19406000000.0,,,,
000001.XSHE,2025-03-15,2023-12-31,274663000000.0,9814000000.0,5587116000000.0,5114788000000.0,472328000000.0,221255000000.0,19406000000.0,,,,
000001.XSHE,2024-10-19,2023-12-31,274663000000.0,9814000000.0,5587116000000.0,5114788000000.0,472328000000.0,221255000000.0,19406000000.0,,,,
000001.XSHE,2024-08-16,2023-12-31,274663000000.0,9814000000.0,5587116000000.0,5114788000000.0,472328000000.0,221255000000.0,19406000000.0,,,,
000001.XSHE,2024-04-20,2023-12-31,274663000000.0,9814000000.0,5587116000000.0,5114788000000.0,472328000000.0,221255000000.0,19406000000.0,,,,
000001.XSHE,2024-03-15,2023-12-31,274663000000.0,9814000000.0,5587116000000.0,5114788000000.0,472328000000.0,221255000000.0,19406000000.0,,,,
000001.XSHE,2024-03-15,2022-12-31,285277000000.0,11083000000.0,5321514000000.0,4886834000000.0,434680000000.0,186305000000.0,19406000000.0,,,,
000001.XSHE,2023-10-25,2022-12-31,285277000000.0,11083000000.0,5321514000000.0,4886834000000.0,434680000000.0,186305000000.0,19406000000.0,,,,
000001.XSHE,2023-08-24,2022-12-31,285277000000.0,11083000000.0,5321514000000.0,4886834000000.0,434680000000.0,186305000000.0,19406000000.0,,,,
000001.XSHE,2023-04-25,2022-12-31,285277000000.0,11083000000.0,5321514000000.0,4886834000000.0,434680000000.0,186305000000.0,19406000000.0,,,,
000001.XSHE,2023-03-09,2022-12-31,285277000000.0,11083000000.0,5321514000000.0,4886834000000.0,434680000000.0,186305000000.0,19406000000.0,,,,
000001.XSHE,2023-03-09,2021-12-31,312033000000.0,11974000000.0,4921380000000.0,4525932000000.0,395448000000.0,154377000000.0,19406000000.0,,,,
000001.XSHE,2022-10-25,2021-12-31,312033000000.0,11974000000.0,4921380000000.0,4525932000000.0,395448000000.0,154377000000.0,19406000000.0,,,,
000001.XSHE,2022-08-18,2021-12-31,312033000000.0,11974000000.0,4921380000000.0,4525932000000.0,395448000000.0,154377000000.0,19406000000.0,,,,
000001.XSHE,2022-04-27,2021-12-31,312033000000.0,11974000000.0,4921380000000.0,4525932000000.0,395448000000.0,154377000000.0,19406000000.0,,,,
000001.XSHE,2022-03-10,2021-12-31,312033000000.0,11974000000.0,4921380000000.0,4525932000000.0,395448000000.0,154377000000.0,19406000000.0,,,,
000002.XSHE,2025-10-31,2024-12-31,88162865022.03,20610539756.61,1286259859765.82,947405197282.08,338854662483.74,44137872679.12,11930709471.0,8110758258.05,519009439846.78,917512076855.03,719061817650.72
000002.XSHE,2025-08-23,2024-12-31,88162865022.03,20610539756.61,1286259859765.82,947405197282.08,338854662483.74,44137872679.12,11930709471.0,8110758258.05,519009439846.78,917512076855.03,719061817650.72
000002.XSHE,2025-04-30,2024-12-31,88162865022.03,20610539756.61,1286259859765.82,947405197282.08,338854662483.74,44137872679.12,11930709471.0,8110758258.05,519009439846.78,917512076855.03,719061817650.72
000002.XSHE,2025-04-01,2024-12-31,88162865022.03,20610539756.61,1286259859765.82,947405197282.08,338854662483.74,44137872679.12,11930709471.0,8110758258.05,519009439846.78,917512076855.03,719061817650.72
000002.XSHE,2025-04-01,2023-12-31,99813755447.81,19233034944.88,1504850172117.83,1101916641170.57,402933530947.26,93616301891.08,11930709471.0,7293628386.69,701695785323.43,1150260062360.68,821785258492.1
000002.XSHE,2024-10-31,2023-12-31,99813755447.81,19233034944.88,1504850172117.83,1101916641170.57,402933530947.26,93616301891.08,11930709471.0,7293628386.69,701695785323.43,1150260062360.68,821785258492.1
