secID,publishDate,endDate,CFrSaleGS
000001.XSHE,2025-03-15,2024-12-31,
000001.XSHE,2025-03-15,2023-12-31,
000001.XSHE,2024-03-15,2023-12-31,
000001.XSHE,2024-03-15,2022-12-31,
000001.XSHE,2023-03-09,2022-12-31,
000001.XSHE,2023-03-09,2021-12-31,
000001.XSHE,2022-03-10,2021-12-31,
000002.XSHE,2025-04-01,2024-12-31,200998272604.11
000002.XSHE,2025-04-01,2023-12-31,296649108624.0
000002.XSHE,2024-03-29,2023-12-31,296649108624.0
000002.XSHE,2024-03-29,2022-12-31,323535426593.95
000002.XSHE,2023-03-31,2022-12-31,323535426593.95
000002.XSHE,2023-03-31,2021-12-31,464050811118.84
000002.XSHE,2022-03-31,2021-12-31,464050811118.84
000009.XSHE,2025-04-16,2024-12-31,19000332448.1
000009.XSHE,2025-04-16,2023-12-31,27805904982.51
000009.XSHE,2024-04-16,2023-12-31,27805904982.51
000009.XSHE,2024-04-16,2022-12-31,23034585699.15
000009.XSHE,2023-04-15,2022-12-31,23034585699.15
000009.XSHE,2023-04-15,2021-12-31,13001102203.4
000009.XSHE,2022-03-31,2021-12-31,13001102203.4
000063.XSHE,2025-03-01,2024-12-31,127930762000.0
000063.XSHE,2025-03-01,2023-12-31,128264163000.0
000063.XSHE,2024-03-09,2023-12-31,128264163000.0
000063.XSHE,2024-03-09,2022-12-31,136874889000.0
000063.XSHE,2023-03-11,2022-12-31,136874889000.0
000063.XSHE,2023-03-11,2021-12-31,120976285000.0
000063.XSHE,2022-03-09,2021-12-31,120976285000.0
000069.XSHE,2025-03-29,2024-12-31,34816750737.31
000069.XSHE,2025-03-29,2023-12-31,52365819500.84
000069.XSHE,2024-03-30,2023-12-31,52365819500.84
000069.XSHE,2024-03-30,2022-12-31,60829449797.95
000069.XSHE,2023-03-31,2022-12-31,60829449797.95
000069.XSHE,2023-03-31,2021-12-31,100959093480.14
000069.XSHE,2022-03-31,2021-12-31,100959093480.14
000100.XSHE,2025-04-29,2024-12-31,169223957000.0
000100.XSHE,2025-04-29,2023-12-31,139948369000.0
000100.XSHE,2024-04-30,2023-12-31,139948369000.0
000100.XSHE,2024-04-30,2022-12-31,137297835000.0
000100.XSHE,2023-03-31,2022-12-31,137297835000.0
000100.XSHE,2023-03-31,2021-12-31,140078647000.0
000100.XSHE,2022-04-28,2021-12-31,140078647000.0
000157.XSHE,2025-03-25,2024-12-31,54706221748.71
000157.XSHE,2025-03-25,2023-12-31,50385819875.12
000157.XSHE,2024-03-29,2023-12-31,50385819875.12
000157.XSHE,2024-03-29,2022-12-31,46335362162.39
000157.XSHE,2023-03-31,2022-12-31,46335362162.39
000157.XSHE,2023-03-31,2021-12-31,62649216019.68
000157.XSHE,2022-03-31,2021-12-31,62649216019.68
000166.XSHE,2025-03-29,2024-12-31,
000166.XSHE,2025-03-29,2023-12-31,
000166.XSHE,2024-03-29,2023-12-31,
000166.XSHE,2024-03-29,2022-12-31,
000166.XSHE,2023-03-31,2022-12-31,
000166.XSHE,2023-03-31,2021-12-31,
000166.XSHE,2022-03-31,2021-12-31,
000301.XSHE,2025-04-29,2024-12-31,170231575366.91
000301.XSHE,2025-04-29,2023-12-31,155578948937.98
000301.XSHE,2024-04-26,2023-12-31,155578948937.98
000301.XSHE,2024-04-26,2022-12-31,68980259777.24
000301.XSHE,2023-04-18,2022-12-31,68950165509.0
000301.XSHE,2023-04-18,2021-12-31,54734917497.56
000301.XSHE,2022-04-19,2021-12-31,54734917497.56
000333.XSHE,2025-03-29,2024-12-31,388661338000.0
000333.XSHE,2025-03-29,2023-12-31,356076005000.0
000333.XSHE,2024-03-28,2023-12-31,356076005000.0
000333.XSHE,2024-03-28,2022-12-31,316997825000.0
000333.XSHE,2023-04-29,2022-12-31,316997825000.0
000333.XSHE,2023-04-29,2021-12-31,310489824000.0
000333.XSHE,2022-04-30,2021-12-31,310489824000.0
000338.XSHE,2025-03-28,2024-12-31,222363690491.28
000338.XSHE,2025-03-28,2023-12-31,216639472203.14
000338.XSHE,2024-03-26,2023-12-31,216639472203.14
000338.XSHE,2024-03-26,2022-12-31,169364051780.89
000338.XSHE,2023-03-31,2022-12-31,169364051780.89
000338.XSHE,2023-03-31,2021-12-31,210990394930.66
000338.XSHE,2022-03-31,2021-12-31,192945154192.92
000400.XSHE,2025-04-11,2024-12-31,15855232143.84
000400.XSHE,2025-04-11,2023-12-31,15404691568.2
000400.XSHE,2024-04-11,2023-12-31,15404691568.2
000400.XSHE,2024-04-11,2022-12-31,12952579155.64
000400.XSHE,2023-04-08,2022-12-31,12829483962.72
000400.XSHE,2023-04-08,2021-12-31,10733133333.8
000400.XSHE,2022-04-26,2021-12-31,10733133333.8
000408.XSHE,2025-03-29,2024-12-31,3294045869.88
000408.XSHE,2025-03-29,2023-12-31,5546484851.56
000408.XSHE,2024-03-21,2023-12-31,5546484851.56
000408.XSHE,2024-03-21,2022-12-31,8650722959.26
000408.XSHE,2023-03-10,2022-12-31,8650722959.26
000408.XSHE,2023-03-10,2021-12-31,3450064145.11
000408.XSHE,2022-03-11,2021-12-31,3450064145.11
000423.XSHE,2025-03-18,2024-12-31,6151856747.08
000423.XSHE,2025-03-18,2023-12-31,5206407822.18
000423.XSHE,2024-03-22,2023-12-31,5206407822.18
000423.XSHE,2024-03-22,2022-12-31,4535915541.57
000423.XSHE,2023-03-25,2022-12-31,4535915541.57
000423.XSHE,2023-03-25,2021-12-31,5043942613.2
000423.XSHE,2022-03-26,2021-12-31,5043942613.2
000425.XSHE,2025-04-29,2024-12-31,99918736818.42
000425.XSHE,2025-04-29,2023-12-31,103724581318.22
000425.XSHE,2024-04-30,2023-12-31,103724581318.22
000425.XSHE,2024-04-30,2022-12-31,104640425762.86
000425.XSHE,2023-04-29,2022-12-31,104640425762.86
000425.XSHE,2023-04-29,2021-12-31,94016434920.63
000425.XSHE,2022-04-19,2021-12-31,70740347219.86
000488.XSHE,2025-04-01,2024-12-31,23237707950.05
000488.XSHE,2025-04-01,2023-12-31,27966458590.37
000488.XSHE,2024-03-29,2023-12-31,27966458590.37
000488.XSHE,2024-03-29,2022-12-31,34004940977.95
000488.XSHE,2023-03-31,2022-12-31,34004940977.95
000488.XSHE,2023-03-31,2021-12-31,37026791230.42
000488.XSHE,2022-03-31,2021-12-31,37026791230.42
000513.XSHE,2025-03-27,2024-12-31,13064645207.09
000513.XSHE,2025-03-27,2023-12-31,13706761073.11
000513.XSHE,2024-03-29,2023-12-31,13706761073.11
000513.XSHE,2024-03-29,2022-12-31,12878492107.98
000513.XSHE,2023-03-31,2022-12-31,12878492107.98
000513.XSHE,2023-03-31,2021-12-31,12518435597.15
000513.XSHE,2022-03-29,2021-12-31,12518435597.15
000519.XSHE,2025-04-24,2024-12-31,4670172468.43
000519.XSHE,2025-04-24,2023-12-31,4550935808.52
000519.XSHE,2024-04-20,2023-12-31,4550935808.52
000519.XSHE,2024-04-20,2022-12-31,5139193174.61
000519.XSHE,2023-04-11,2022-12-31,5139193174.61
000519.XSHE,2023-04-11,2021-12-31,6580233432.12
000519.XSHE,2022-04-20,2021-12-31,6580233432.12
000519.XSHE,2022-04-19,2021-12-31,6580233432.12
000528.XSHE,2025-03-29,2024-12-31,27680012550.63
000528.XSHE,2025-03-29,2023-12-31,30314021867.03
000528.XSHE,2024-03-30,2023-12-31,30314021867.03
000528.XSHE,2024-03-30,2022-12-31,34547905663.0
000528.XSHE,2023-04-28,2022-12-31,34547905663.0
000528.XSHE,2023-04-28,2021-12-31,34959488625.49
000528.XSHE,2022-03-31,2021-12-31,34959488625.49
000537.XSHE,2025-04-29,2024-12-31,3403296663.22
000537.XSHE,2025-04-29,2023-12-31,3518236717.41
000537.XSHE,2024-04-30,2023-12-31,3518236717.41
000537.XSHE,2024-04-30,2022-12-31,3733109804.12
000537.XSHE,2023-03-30,2022-12-31,3733109804.12
000537.XSHE,2023-03-30,2021-12-31,21713724265.52
000537.XSHE,2022-10-27,2021-12-31,19577891492.8
000537.XSHE,2022-04-29,2021-12-31,19577891492.8
000538.XSHE,2025-04-01,2024-12-31,43254436486.53
000538.XSHE,2025-04-01,2023-12-31,40638627018.49
000538.XSHE,2024-03-30,2023-12-31,40638627018.49
000538.XSHE,2024-03-30,2022-12-31,38216566841.97
000538.XSHE,2023-03-31,2022-12-31,38216566841.97
000538.XSHE,2023-03-31,2021-12-31,39585624822.56
000538.XSHE,2022-03-26,2021-12-31,39585624822.56
000547.XSHE,2025-04-19,2024-12-31,2758581512.52
000547.XSHE,2025-04-19,2023-12-31,2951372406.76
000547.XSHE,2025-01-21,2023-12-31,2951372406.76
000547.XSHE,2024-04-30,2023-12-31,2951372406.76
000547.XSHE,2025-01-21,2022-12-31,3572960563.23
000547.XSHE,2025-01-21,2022-12-31,3572960563.23
000547.XSHE,2024-06-29,2022-12-31,3572960563.23
000547.XSHE,2024-04-30,2022-12-31,3572960563.23
000547.XSHE,2024-04-30,2022-12-31,3572960563.23
000547.XSHE,2023-04-22,2022-12-31,3572960563.23
