tradeDate,000001.XSHE,000002.XSHE,000009.XSHE,000063.XSHE,000069.XSHE,000100.XSHE,000157.XSHE,000166.XSHE,000301.XSHE,000333.XSHE,000338.XSHE,000400.XSHE,000408.XSHE,000423.XSHE,000425.XSHE,000488.XSHE,000513.XSHE,000519.XSHE,000528.XSHE,000537.XSHE,000538.XSHE,000547.XSHE,000559.XSHE,000563.XSHE,000568.XSHE,000581.XSHE,000596.XSHE,000598.XSHE,000600.XSHE,000625.XSHE,000627.XSHE,000629.XSHE,000630.XSHE,000636.XSHE,000650.XSHE,000651.XSHE,000661.XSHE,000671.XSHE,000681.XSHE,000686.XSHE,000703.XSHE,000709.XSHE,000712.XSHE,000717.XSHE,000725.XSHE,000728.XSHE,000729.XSHE,000738.XSHE,000739.XSHE,000750.XSHE,000761.XSHE,000768.XSHE,000776.XSHE,000778.XSHE,000783.XSHE,000786.XSHE,000789.XSHE,000792.XSHE,000800.XSHE,000807.XSHE,000825.XSHE,000830.XSHE,000831.XSHE,000837.XSHE,000839.XSHE,000848.XSHE,000858.XSHE,000860.XSHE,000869.XSHE,000876.XSHE,000877.XSHE,000878.XSHE,000883.XSHE,000887.XSHE,000893.XSHE,000895.XSHE,000960.XSHE,000983.XSHE,002001.XSHE,002007.XSHE,002008.XSHE,002027.XSHE,002032.XSHE,002044.XSHE,002050.XSHE,002129.XSHE,002142.XSHE,002202.XSHE,002230.XSHE,002236.XSHE,002241.XSHE,002304.XSHE,002311.XSHE,002352.XSHE,002410.XSHE,002415.XSHE,002466.XSHE,002475.XSHE,002594.XSHE,002714.XSHE,600000.XSHG,600016.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600031.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600150.XSHG,600196.XSHG,600276.XSHG,600309.XSHG,600332.XSHG,600346.XSHG,600398.XSHG,600406.XSHG,600426.XSHG,600436.XSHG,600438.XSHG,600456.XSHG,600460.XSHG,600486.XSHG,600489.XSHG,600516.XSHG,600519.XSHG,600547.XSHG,600566.XSHG,600567.XSHG,600570.XSHG,600583.XSHG,600584.XSHG,600585.XSHG,600588.XSHG,600600.XSHG,600637.XSHG,600660.XSHG,600674.XSHG,600690.XSHG,600703.XSHG,600729.XSHG,600741.XSHG,600745.XSHG,600763.XSHG,600765.XSHG,600779.XSHG,600801.XSHG,600809.XSHG,600848.XSHG,600862.XSHG,600871.XSHG,600886.XSHG,600887.XSHG,600893.XSHG,600900.XSHG,600905.XSHG,600918.XSHG,600919.XSHG,600926.XSHG,600958.XSHG,600989.XSHG,601006.XSHG,601009.XSHG,601012.XSHG,601016.XSHG,601066.XSHG,601077.XSHG,601088.XSHG,601100.XSHG,601111.XSHG,601117.XSHG,601138.XSHG,601155.XSHG,601162.XSHG,601166.XSHG,601186.XSHG,601198.XSHG,601211.XSHG,601225.XSHG,601229.XSHG,601233.XSHG,601236.XSHG,601238.XSHG,601288.XSHG,601318.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601669.XSHG,601688.XSHG,601766.XSHG,601857.XSHG,601888.XSHG,601899.XSHG,601919.XSHG,603259.XSHG,603288.XSHG
2021-02-01,20.265,23.775,7.081,29.987,6.262,7.597,10.652,4.312,13.507,80.691,18.44,12.68,7.273,31.028,5.161,7.579,30.593,9.172,7.323,4.909,79.627,22.191,3.907,3.101,219.881,17.642,217.091,4.125,4.361,8.885,3.638,1.94,2.058,30.987,4.971,39.548,421.026,5.641,13.939,8.203,13.274,1.826,16.089,3.589,5.6,7.085,6.348,20.528,21.069,4.411,2.28,31.041,13.934,3.171,6.567,46.611,9.696,8.84,9.324,7.032,3.225,9.483,18.158,6.415,2.06,5.522,250.89,63.728,34.063,22.716,13.258,11.916,3.162,9.228,8.89,35.426,11.872,3.497,22.729,42.611,42.107,8.958,63.262,15.134,22.302,21.362,33.231,13.331,47.316,21.966,32.796,168.633,61.772,96.029,57.46,56.242,50.792,51.789,79.922,63.305,8.434,3.832,2.867,5.89,23.74,37.52,40.89,11.31,3.613,19.065,14.879,44.328,83.905,109.36,24.418,35.292,4.661,15.625,28.583,293.737,37.38,43.202,22.521,110.211,7.591,6.646,1848.884,22.251,15.545,2.895,55.765,3.792,40.607,39.222,42.029,85.705,7.441,50.919,9.792,27.77,30.477,18.822,23.591,98.098,226.827,13.18,83.407,15.161,248.916,14.17,30.89,1.81,7.631,36.857,58.817,16.358,,14.011,4.06,12.193,8.901,15.749,4.605,6.243,52.876,3.081,37.485,2.969,11.495,111.438,7.28,4.932,11.957,42.323,5.214,17.807,6.501,10.212,13.906,6.915,5.982,24.551,12.499,9.767,2.334,62.586,4.477,3.843,29.19,33.105,3.834,3.41,14.932,5.279,3.163,287.608,9.51,5.265,133.158,105.078
2021-02-02,19.216,24.004,7.79,29.43,6.29,7.883,10.825,4.331,14.413,81.003,20.285,12.718,7.481,34.128,5.336,7.501,31.225,9.102,7.137,4.865,81.545,21.913,3.966,3.083,240.496,18.026,223.814,4.179,4.324,9.774,3.667,1.94,2.032,31.836,4.944,41.791,443.737,5.641,13.662,8.268,13.696,1.817,16.279,3.652,5.663,7.094,6.386,20.947,21.331,4.309,2.28,32.198,13.917,3.109,6.62,47.633,9.802,8.84,9.789,6.839,3.198,9.846,18.943,6.236,2.06,5.653,261.044,64.478,33.648,22.097,12.988,11.799,3.144,9.545,9.19,36.934,11.634,3.468,23.346,43.504,43.112,8.927,62.509,14.936,22.519,21.754,33.579,13.712,48.749,21.861,32.719,174.763,64.715,98.676,57.488,56.966,52.718,52.403,86.594,63.618,8.256,3.803,2.86,5.78,23.623,37.934,40.554,11.458,3.621,19.918,14.977,45.0,86.728,109.369,24.585,36.297,4.928,16.004,29.497,312.528,39.24,44.18,22.422,112.456,7.326,6.674,1880.159,21.735,16.212,2.857,58.261,3.792,40.275,38.834,41.575,87.872,7.45,53.197,9.521,29.045,30.29,18.617,25.48,95.72,228.368,13.532,86.691,15.161,265.942,14.155,31.083,1.85,7.534,37.465,59.987,16.425,,14.195,4.03,12.731,8.718,16.228,4.613,6.235,53.909,3.096,37.158,2.947,11.413,115.048,7.19,4.932,11.785,41.536,5.234,17.451,6.51,10.277,13.797,7.032,5.939,25.205,12.617,10.251,2.32,61.725,4.494,3.805,30.007,32.777,3.826,3.428,14.958,5.313,3.171,311.115,9.838,5.265,135.257,107.205
2021-02-03,20.595,23.648,7.81,29.634,6.534,7.681,10.825,4.349,14.076,80.231,20.285,12.5,7.406,34.18,5.415,8.253,30.829,8.715,7.376,4.731,79.448,20.643,3.882,3.037,240.341,19.832,218.74,4.179,4.287,9.809,3.629,1.94,2.005,29.599,4.847,41.223,454.355,5.65,13.314,8.194,13.687,1.826,15.38,3.67,5.375,6.997,6.282,20.547,22.189,4.299,2.248,31.678,13.778,3.092,6.507,46.424,9.597,8.84,10.333,6.821,3.145,10.318,19.917,6.087,2.02,5.583,265.019,63.442,33.372,23.424,12.423,11.673,3.117,9.554,9.37,36.251,11.691,3.439,23.146,42.638,42.183,9.091,62.311,15.829,22.632,21.515,34.231,13.22,43.878,20.172,32.412,170.59,65.486,97.108,56.665,52.92,51.898,50.201,85.137,69.858,8.288,3.795,2.882,5.71,23.463,39.067,41.397,11.261,3.569,19.478,14.24,44.102,85.91,111.275,24.234,37.25,4.885,15.925,30.691,312.509,39.895,41.9,21.588,112.209,7.194,6.265,1919.524,21.501,15.981,2.885,57.218,3.828,38.096,38.585,40.994,87.963,7.338,52.213,9.363,28.643,28.657,17.97,25.303,96.265,231.03,13.076,86.237,15.122,266.628,13.882,29.782,1.87,7.543,36.049,57.627,16.4,,13.528,4.052,13.394,8.735,16.423,4.613,6.371,53.815,2.962,36.408,2.94,11.352,113.559,7.07,4.818,11.415,41.621,5.194,18.265,6.366,10.212,13.847,6.984,5.946,25.128,12.306,10.279,2.312,60.43,4.419,3.768,30.138,32.102,3.786,3.338,14.898,5.093,3.171,320.486,9.556,5.356,138.973,105.573
2021-02-04,20.306,23.622,7.879,29.217,6.468,7.908,10.166,4.239,14.211,79.212,20.319,13.126,7.364,33.138,5.363,8.536,30.08,8.587,7.439,4.722,77.471,20.335,3.774,2.918,240.392,19.617,222.002,4.215,4.204,10.03,3.504,1.92,1.979,29.213,4.909,41.062,443.087,5.53,13.265,7.982,13.846,1.799,15.889,3.679,5.555,6.752,6.139,20.039,21.656,4.179,2.248,31.061,13.482,3.083,6.185,45.961,9.317,8.84,9.745,7.106,3.154,10.148,18.227,5.878,1.94,5.443,269.182,62.168,32.893,23.394,11.903,11.439,3.081,9.061,9.49,35.651,11.151,3.403,22.917,42.018,42.439,8.692,62.549,15.858,22.848,21.3,35.002,13.35,44.757,20.752,31.873,169.503,72.038,98.169,55.58,53.697,46.708,47.727,84.134,69.539,8.304,3.788,2.896,5.69,22.725,38.06,41.748,10.95,3.483,19.048,13.857,43.534,84.11,117.427,23.717,36.938,4.755,15.552,31.373,323.421,38.758,39.878,23.743,115.507,6.947,5.977,2034.296,20.711,15.742,2.848,55.922,4.212,40.451,38.057,39.003,86.176,7.157,50.901,9.276,28.617,27.909,17.882,25.681,101.437,227.8,12.731,85.253,14.667,258.393,13.525,29.271,1.9,7.34,36.424,56.387,16.434,,13.112,4.103,13.618,8.569,16.583,4.605,6.303,54.765,2.866,34.47,2.94,11.292,113.804,7.01,4.853,11.63,41.099,5.015,18.324,6.197,9.734,13.57,7.135,5.996,23.829,11.818,10.083,2.32,62.862,4.419,3.79,30.732,30.981,3.723,3.248,14.469,5.127,3.171,309.17,9.246,4.82,134.581,104.496
2021-02-05,20.578,24.461,8.037,28.66,6.731,7.117,9.648,4.248,12.794,79.91,19.468,12.983,7.024,33.835,5.196,7.94,29.701,8.696,7.003,4.802,80.946,20.057,3.732,2.909,247.913,17.85,227.258,4.206,4.231,9.06,3.532,1.9,1.97,27.825,4.847,41.308,452.023,5.613,12.908,7.862,13.565,1.799,16.139,3.679,5.295,6.621,6.072,19.365,21.593,4.141,2.248,30.07,13.386,3.083,6.107,44.761,9.441,8.84,9.394,7.493,3.109,9.513,16.438,5.61,1.95,5.399,274.469,61.112,31.862,23.424,11.84,11.196,3.09,8.995,8.95,35.389,10.904,3.301,21.932,45.602,40.011,9.036,64.006,15.62,23.328,20.5,36.425,12.635,43.156,19.705,30.681,176.209,74.885,98.169,55.649,52.69,45.252,48.234,80.605,69.539,8.66,3.855,2.874,5.95,22.666,37.394,42.716,11.253,3.483,18.968,14.673,44.829,87.792,111.781,23.866,33.361,4.755,15.383,29.804,330.619,39.266,38.965,23.236,110.822,6.805,5.772,2027.416,20.282,15.611,2.848,53.625,4.105,39.151,38.981,39.033,88.634,7.123,49.572,9.389,29.411,26.355,17.745,25.158,99.406,241.454,12.22,82.479,14.761,261.323,13.578,27.613,1.85,7.217,36.773,54.971,16.358,,12.957,4.213,14.164,8.43,15.395,4.627,6.561,56.684,2.58,32.944,3.005,11.068,115.387,7.37,4.958,11.364,41.469,5.005,19.057,6.239,9.431,13.587,6.785,6.212,23.06,11.447,9.739,2.349,62.941,4.435,3.873,32.002,30.808,3.763,3.257,14.418,5.05,3.171,326.097,8.927,4.572,136.983,103.693
2021-02-08,20.471,24.673,8.027,28.688,6.684,7.269,10.613,4.257,13.922,79.425,20.757,13.173,6.792,33.345,5.642,8.731,30.299,8.785,7.705,4.802,89.04,20.127,3.707,2.927,250.247,18.365,220.915,4.233,4.194,9.472,3.532,1.91,2.023,27.439,4.742,41.237,470.443,5.622,13.036,7.853,14.212,1.817,17.758,3.67,5.375,6.682,5.891,19.571,21.159,4.132,2.28,30.217,13.473,3.127,6.098,48.292,9.835,8.84,9.42,8.238,3.145,10.465,16.528,5.639,2.0,5.408,274.675,60.144,31.706,24.641,12.199,11.619,3.09,9.117,8.94,36.229,11.35,3.337,23.43,46.076,41.263,9.201,62.319,15.432,23.892,20.239,36.569,13.276,43.729,19.38,29.585,182.213,79.113,98.169,54.951,52.902,47.114,46.617,80.994,75.981,8.66,3.847,2.896,6.19,22.918,40.443,43.121,11.417,3.509,19.1,14.221,43.723,86.957,119.134,24.795,35.067,5.073,16.299,31.742,363.681,40.205,40.432,23.842,114.083,6.982,5.809,2076.326,20.643,15.767,2.857,55.246,4.266,39.865,39.781,38.984,85.405,7.157,50.047,9.494,30.267,27.24,17.575,24.009,109.345,248.893,12.117,84.428,15.263,260.663,13.98,27.257,1.85,7.305,38.081,56.702,16.417,,13.228,4.184,14.28,8.159,16.281,4.641,6.727,55.487,2.485,33.3,2.94,11.116,118.742,7.77,4.993,11.398,42.058,4.945,19.789,6.273,9.385,13.595,6.977,6.255,24.051,11.447,9.906,2.342,62.033,4.477,3.858,32.051,29.541,3.786,3.266,14.478,5.033,3.194,336.474,9.647,4.62,137.589,104.981
2021-02-09,20.289,24.351,7.968,29.411,6.703,7.631,11.539,4.322,14.722,83.731,21.465,13.258,6.684,36.677,6.036,9.063,30.189,8.993,8.114,4.856,96.044,20.643,3.748,2.973,256.794,18.403,219.574,4.251,4.25,9.543,3.561,1.96,2.076,28.24,5.094,41.371,471.8,5.641,13.046,8.046,15.074,1.817,17.018,3.697,5.546,6.866,6.186,21.055,21.349,4.234,2.296,31.62,13.778,3.144,6.22,49.234,9.934,8.84,9.578,8.855,3.171,10.875,17.82,5.918,2.01,5.417,282.83,60.431,32.313,23.903,12.316,12.042,3.108,9.256,9.27,37.722,11.407,3.395,24.161,46.359,45.389,9.514,65.296,16.613,23.93,21.185,36.374,13.907,48.106,20.321,29.854,184.011,79.979,98.169,57.156,55.217,48.911,48.974,83.195,76.699,8.627,3.832,2.983,6.2,23.48,42.124,43.121,11.359,3.535,18.705,14.447,44.47,89.788,124.102,25.242,38.576,5.065,17.562,32.615,367.568,43.925,42.445,24.13,111.148,7.106,6.116,2153.137,20.848,15.924,2.857,57.083,4.355,40.822,39.704,40.551,88.017,7.226,51.773,9.512,30.023,27.742,17.929,24.21,109.89,260.872,12.842,82.85,15.342,266.087,14.064,29.666,1.9,7.243,38.331,62.377,16.231,,13.537,4.176,14.363,8.29,17.185,4.663,6.75,58.063,2.628,34.114,2.962,11.251,119.147,7.84,5.494,11.716,41.08,5.055,19.834,6.315,9.587,13.78,7.094,6.204,26.456,11.784,10.0,2.327,61.685,4.519,3.85,31.721,30.27,3.81,3.311,14.829,5.245,3.233,338.109,10.33,4.807,141.499,111.175
2021-02-10,19.662,24.419,8.027,29.885,6.712,7.681,11.688,4.303,14.722,88.012,21.381,13.154,6.867,36.953,6.045,9.972,31.065,8.934,8.079,4.856,96.344,19.948,3.807,2.964,270.482,18.203,228.825,4.215,4.269,9.553,3.609,2.04,2.156,28.24,5.024,42.394,459.362,5.594,13.503,7.982,15.533,1.817,17.228,3.661,5.564,6.91,6.205,20.85,21.349,4.253,2.288,31.031,13.795,3.127,6.177,49.332,10.115,8.84,9.99,8.717,3.189,11.084,18.495,6.216,2.03,5.504,294.117,62.988,32.599,23.783,12.576,12.672,3.162,9.498,9.99,38.464,11.89,3.388,24.36,49.232,48.965,9.624,64.433,16.752,23.977,21.6,36.027,14.093,52.908,20.48,32.844,191.337,81.941,107.99,60.662,58.309,47.667,51.409,86.416,81.301,8.636,3.847,3.027,6.16,23.379,43.105,42.567,11.318,3.535,19.285,14.28,47.562,89.346,126.839,25.224,39.97,5.073,17.772,33.222,378.086,46.561,41.706,24.428,117.331,7.194,6.032,2279.857,21.179,16.187,2.876,57.462,4.293,40.94,40.302,42.63,86.856,7.252,51.756,9.529,30.477,27.791,17.718,23.695,113.05,271.8,12.752,87.582,15.553,292.695,14.155,29.618,1.88,7.287,38.722,63.843,16.577,,13.392,4.14,14.471,8.447,17.256,4.728,6.682,60.324,2.565,34.657,2.969,11.325,119.911,7.79,5.53,12.078,41.754,5.045,19.708,6.324,9.569,13.696,7.066,6.111,27.601,11.952,10.223,2.364,62.57,4.503,3.925,32.274,30.644,3.81,3.329,14.812,5.203,3.256,364.548,11.004,4.737,143.808,111.019
2021-02-18,20.058,25.418,8.381,30.117,7.388,7.757,11.217,4.349,14.693,80.773,21.103,13.249,7.207,35.549,6.001,10.968,31.562,9.063,8.159,4.936,93.947,19.76,3.849,3.028,251.884,19.071,230.456,4.233,4.38,9.839,3.706,2.1,2.368,28.674,5.041,42.38,436.585,5.817,13.562,8.065,16.649,1.861,17.198,3.814,5.51,6.971,6.301,20.811,20.635,4.299,2.336,31.482,13.995,3.197,6.281,48.363,10.238,8.84,10.104,9.094,3.278,12.19,19.35,6.455,2.1,5.583,286.263,57.064,31.862,23.285,13.123,13.941,3.162,9.61,10.57,36.387,13.076,3.729,25.822,45.292,48.187,10.078,64.093,16.841,24.221,21.308,36.561,14.4,51.792,20.172,32.113,182.331,80.37,107.409,57.253,54.165,52.423,48.808,83.839,77.548,8.749,3.9,3.252,6.36,23.438,42.403,43.457,11.752,3.647,19.338,15.017,45.756,85.828,130.054,25.461,40.369,5.131,17.299,34.539,373.614,46.587,43.091,26.593,121.755,7.406,6.302,2165.908,21.54,16.409,2.989,54.965,4.471,41.956,40.348,42.315,83.365,7.381,50.314,9.713,29.272,28.981,18.481,23.872,113.268,253.727,12.835,82.025,15.687,300.917,14.481,28.741,1.99,7.393,38.148,62.092,16.526,,13.789,4.198,14.603,8.552,18.364,4.706,6.69,60.482,2.62,34.47,3.012,11.792,116.141,8.09,5.679,12.009,42.798,5.134,20.514,6.442,9.744,13.822,7.773,6.168,27.899,12.07,10.288,2.371,65.041,4.57,3.918,33.906,31.847,3.85,3.383,14.915,5.288,3.395,357.067,12.107,5.186,133.624,101.695
2021-02-19,19.687,25.274,9.218,30.571,7.604,7.984,11.445,4.441,14.751,80.518,20.867,13.704,7.564,35.463,6.097,11.817,32.218,9.221,8.976,5.097,94.391,20.186,3.949,3.111,256.716,19.348,227.665,4.287,4.546,9.523,3.821,2.17,2.438,29.532,5.156,42.772,430.083,5.901,13.88,8.314,16.64,1.905,18.178,3.895,5.636,7.137,6.653,21.192,20.427,4.448,2.368,31.708,14.656,3.259,6.411,48.292,11.069,8.84,10.175,9.085,3.385,12.507,18.973,6.515,2.19,5.697,295.619,57.577,32.93,25.609,14.244,14.355,3.216,9.815,11.63,36.754,14.384,3.86,25.955,43.842,47.381,9.655,62.549,17.873,24.814,20.693,36.561,14.437,50.981,21.025,32.863,180.959,79.227,106.884,56.347,54.492,48.579,48.545,83.308,82.835,8.862,3.915,3.172,6.35,24.008,40.443,43.075,11.793,3.794,19.61,15.616,45.113,86.041,124.183,25.618,38.143,5.094,17.099,33.161,367.548,43.891,41.475,28.3,115.979,7.529,6.506,2156.266,21.822,16.541,3.291,52.847,4.498,42.122,42.453,40.846,82.522,7.587,48.313,9.827,28.468,29.788,18.856,23.8,111.743,271.408,13.152,79.482,16.651,279.675,14.807,28.095,2.0,7.569,40.18,62.338,16.821,,14.04,4.264,14.537,8.735,17.15,4.757,6.652,57.861,2.668,35.378,3.055,12.26,107.886,8.2,5.829,12.207,43.671,5.294,19.789,6.738,10.718,14.124,8.548,6.226,26.504,12.432,10.446,2.379,66.478,4.78,3.918,34.879,32.175,3.953,3.509,15.232,5.813,3.349,349.548,12.426,5.317,134.464,102.977
