tradeDate,000001.XSHE,000002.XSHE,000009.XSHE,000063.XSHE,000069.XSHE,000100.XSHE,000157.XSHE,000166.XSHE,000301.XSHE,000333.XSHE,000338.XSHE,000400.XSHE,000408.XSHE,000423.XSHE,000425.XSHE,000488.XSHE,000513.XSHE,000519.XSHE,000528.XSHE,000537.XSHE,000538.XSHE,000547.XSHE,000559.XSHE,000563.XSHE,000568.XSHE,000581.XSHE,000596.XSHE,000598.XSHE,000600.XSHE,000625.XSHE,000627.XSHE,000629.XSHE,000630.XSHE,000636.XSHE,000650.XSHE,000651.XSHE,000661.XSHE,000671.XSHE,000681.XSHE,000686.XSHE,000703.XSHE,000709.XSHE,000712.XSHE,000717.XSHE,000725.XSHE,000728.XSHE,000729.XSHE,000738.XSHE,000739.XSHE,000750.XSHE,000761.XSHE,000768.XSHE,000776.XSHE,000778.XSHE,000783.XSHE,000786.XSHE,000789.XSHE,000792.XSHE,000800.XSHE,000807.XSHE,000825.XSHE,000830.XSHE,000831.XSHE,000837.XSHE,000839.XSHE,000848.XSHE,000858.XSHE,000860.XSHE,000869.XSHE,000876.XSHE,000877.XSHE,000878.XSHE,000883.XSHE,000887.XSHE,000893.XSHE,000895.XSHE,000960.XSHE,000983.XSHE,002001.XSHE,002007.XSHE,002008.XSHE,002027.XSHE,002032.XSHE,002044.XSHE,002050.XSHE,002129.XSHE,002142.XSHE,002202.XSHE,002230.XSHE,002236.XSHE,002241.XSHE,002304.XSHE,002311.XSHE,002352.XSHE,002410.XSHE,002415.XSHE,002466.XSHE,002475.XSHE,002594.XSHE,002714.XSHE,600000.XSHG,600016.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600031.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600150.XSHG,600196.XSHG,600276.XSHG,600309.XSHG,600332.XSHG,600346.XSHG,600398.XSHG,600406.XSHG,600426.XSHG,600436.XSHG,600438.XSHG,600456.XSHG,600460.XSHG,600486.XSHG,600489.XSHG,600516.XSHG,600519.XSHG,600547.XSHG,600566.XSHG,600567.XSHG,600570.XSHG,600583.XSHG,600584.XSHG,600585.XSHG,600588.XSHG,600600.XSHG,600637.XSHG,600660.XSHG,600674.XSHG,600690.XSHG,600703.XSHG,600729.XSHG,600741.XSHG,600745.XSHG,600763.XSHG,600765.XSHG,600779.XSHG,600801.XSHG,600809.XSHG,600848.XSHG,600862.XSHG,600871.XSHG,600886.XSHG,600887.XSHG,600893.XSHG,600900.XSHG,600905.XSHG,600918.XSHG,600919.XSHG,600926.XSHG,600958.XSHG,600989.XSHG,601006.XSHG,601009.XSHG,601012.XSHG,601016.XSHG,601066.XSHG,601077.XSHG,601088.XSHG,601100.XSHG,601111.XSHG,601117.XSHG,601138.XSHG,601155.XSHG,601162.XSHG,601166.XSHG,601186.XSHG,601198.XSHG,601211.XSHG,601225.XSHG,601229.XSHG,601233.XSHG,601236.XSHG,601238.XSHG,601288.XSHG,601318.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601669.XSHG,601688.XSHG,601766.XSHG,601857.XSHG,601888.XSHG,601899.XSHG,601919.XSHG,603259.XSHG,603288.XSHG
2021-02-01,18.985,23.69,6.776,29.671,6.177,7.319,9.774,4.312,13.7,79.154,18.119,12.396,7.298,29.366,4.671,7.11,29.979,9.013,6.506,4.936,79.568,24.573,3.907,3.12,222.173,17.45,221.087,4.045,4.472,8.619,3.783,1.95,2.023,30.467,4.927,39.604,423.469,5.604,13.741,8.185,12.187,1.808,16.589,3.58,5.618,7.067,6.243,20.449,20.346,4.764,2.304,30.678,13.847,3.188,6.741,45.801,9.811,0.0,9.587,7.042,3.18,9.142,18.108,6.346,1.98,5.548,251.508,63.689,34.063,20.601,13.096,11.682,3.162,9.303,8.09,35.254,11.284,3.483,22.446,41.954,40.864,8.551,62.707,14.836,21.634,20.992,32.367,13.331,46.288,21.201,31.921,170.556,62.858,93.143,57.384,56.18,57.152,52.101,79.31,59.401,8.03,3.81,2.86,5.72,23.899,36.063,39.797,11.31,3.621,19.118,15.685,43.014,83.832,102.468,24.182,33.023,4.444,15.389,26.871,289.831,37.802,42.98,22.144,106.426,7.547,6.86,1867.011,21.735,15.273,2.857,53.307,3.774,39.943,39.222,41.901,80.917,7.501,50.09,9.591,27.944,29.168,18.583,24.033,95.125,214.428,13.656,83.5,15.334,249.444,14.397,31.623,1.79,7.595,37.315,59.2,16.669,,14.06,4.009,12.077,8.893,14.19,4.598,6.03,52.421,2.747,37.888,2.983,11.528,110.119,7.05,4.791,12.086,41.28,5.304,17.0,6.535,10.295,13.847,6.964,5.788,22.338,12.701,9.72,2.32,62.451,4.452,3.798,28.523,32.813,3.818,3.401,14.838,5.254,3.171,289.394,9.055,5.108,129.302,105.029
2021-02-02,19.299,23.877,7.367,29.922,6.271,7.723,10.495,4.303,13.787,80.034,18.532,12.614,7.348,31.872,5.319,7.53,30.568,9.132,7.163,4.909,78.849,21.834,3.949,3.092,220.304,17.673,217.091,4.134,4.352,9.266,3.638,1.95,2.058,31.19,4.953,39.562,426.367,5.669,13.82,8.166,13.34,1.826,16.019,3.589,5.609,7.058,6.367,20.742,20.969,4.411,2.28,31.1,13.934,3.18,6.541,46.593,9.745,0.0,9.42,6.95,3.216,9.529,18.744,6.405,2.05,5.531,250.641,63.777,34.063,22.536,13.24,11.898,3.162,9.34,8.87,35.704,11.89,3.512,22.729,42.592,42.107,9.029,62.565,15.035,22.368,22.146,32.943,13.554,47.622,21.905,32.883,168.583,61.791,96.37,58.242,56.242,50.699,51.828,81.576,64.297,8.361,3.832,2.889,5.83,23.866,37.952,40.851,11.31,3.613,19.276,14.879,44.253,84.855,109.469,24.392,35.83,4.661,15.625,28.904,295.407,38.37,43.479,22.561,111.148,7.459,6.674,1851.426,22.027,15.726,2.885,56.3,3.801,40.647,39.339,42.324,86.04,7.45,50.919,9.704,28.119,30.477,18.863,24.113,98.048,226.967,13.373,82.572,15.193,253.655,14.253,31.401,1.82,7.622,36.857,58.915,16.568,,14.04,4.06,12.218,8.901,16.219,4.62,6.205,53.558,3.128,37.457,2.962,11.569,111.994,7.21,4.923,11.983,42.513,5.214,17.666,6.501,10.185,13.872,6.957,5.946,24.965,12.516,9.888,2.342,62.593,4.469,3.843,29.182,33.278,3.826,3.41,14.915,5.296,3.171,289.864,9.547,5.352,133.166,105.078
2021-02-03,19.381,24.004,7.958,29.133,6.281,7.858,10.872,4.312,14.327,81.759,20.488,12.832,7.398,33.792,5.328,7.481,31.258,9.072,7.137,4.856,80.946,21.943,3.949,3.083,238.609,18.134,223.814,4.188,4.352,10.175,3.667,1.94,2.023,31.701,4.944,42.036,445.939,5.632,13.592,8.212,13.705,1.817,15.779,3.643,5.627,7.076,6.339,20.957,21.268,4.29,2.264,32.277,13.917,3.1,6.602,47.633,9.802,0.0,9.911,6.839,3.189,10.008,18.466,6.236,2.06,5.723,260.77,64.666,33.51,21.948,13.006,11.817,3.144,9.601,9.29,36.927,11.634,3.454,23.346,43.267,43.112,8.927,62.478,14.945,23.516,21.923,33.587,13.796,48.739,21.949,33.113,178.116,64.715,99.229,57.488,56.966,52.137,52.383,86.788,62.665,8.232,3.803,2.874,5.8,23.614,37.799,40.632,11.498,3.621,19.707,15.115,44.177,86.679,110.2,24.567,36.029,4.957,16.004,29.825,312.864,39.275,44.051,22.472,112.027,7.22,6.618,1884.541,21.471,16.352,2.848,57.44,3.801,40.07,38.834,41.743,87.419,7.424,53.153,9.451,29.254,30.162,18.617,25.632,96.106,229.033,13.532,86.329,15.279,265.942,14.132,31.189,1.85,7.507,37.598,59.997,16.501,,14.079,4.016,12.682,8.692,16.193,4.62,6.22,54.795,3.112,37.195,2.947,11.468,116.254,7.15,4.905,11.76,41.849,5.204,17.474,6.51,10.24,13.822,6.964,5.946,24.917,12.617,10.325,2.32,61.378,4.494,3.805,29.858,32.795,3.818,3.419,14.992,5.262,3.186,310.805,9.647,5.273,133.982,107.184
2021-02-04,19.959,23.622,7.751,29.133,6.506,7.58,10.66,4.322,14.047,79.121,20.058,12.756,7.381,33.586,5.389,8.399,30.854,8.646,7.385,4.713,78.285,20.851,3.891,3.028,238.618,19.678,218.115,4.179,4.259,9.804,3.638,1.94,2.014,29.503,4.839,40.649,451.596,5.622,13.662,8.157,13.696,1.817,15.35,3.661,5.357,6.988,6.329,20.244,22.054,4.281,2.248,31.463,13.726,3.092,6.489,45.801,9.597,0.0,9.903,6.775,3.162,10.271,19.42,6.087,2.02,5.601,262.658,62.691,33.243,23.554,12.405,11.7,3.126,9.48,9.55,36.004,11.397,3.454,22.802,42.182,41.737,9.107,61.599,15.829,22.585,20.839,34.053,13.257,45.281,20.312,31.738,167.747,66.572,96.979,55.67,53.9,51.059,48.847,83.519,69.193,8.248,3.788,2.874,5.7,23.287,38.5,41.256,11.245,3.552,19.347,14.044,44.102,85.092,111.646,24.234,36.99,4.885,15.941,30.855,309.505,38.827,40.774,21.081,111.766,7.194,6.218,1920.479,21.51,15.907,2.867,56.792,3.836,37.881,38.515,40.994,86.693,7.329,51.773,9.346,28.381,28.332,17.916,24.965,94.729,228.718,12.883,85.355,15.091,266.747,13.76,29.599,1.88,7.543,36.04,56.25,16.29,,13.392,4.038,13.336,8.709,16.476,4.613,6.333,52.915,2.914,36.334,2.926,11.325,112.39,7.04,4.818,11.355,41.726,5.164,18.088,6.349,10.166,13.788,6.95,5.917,25.013,12.213,10.242,2.312,61.583,4.41,3.768,30.295,32.275,3.778,3.329,14.881,5.084,3.186,315.317,9.565,5.326,137.511,104.022
2021-02-05,20.306,23.724,7.771,29.142,6.459,7.883,10.315,4.22,14.365,79.688,20.445,13.021,7.464,33.25,5.363,8.487,30.046,8.745,7.439,4.695,77.59,20.554,3.815,2.918,240.513,19.571,222.093,4.215,4.185,9.879,3.504,1.91,1.979,29.358,4.891,40.999,445.976,5.567,13.265,7.991,14.202,1.799,15.799,3.67,5.555,6.761,6.11,20.342,22.587,4.169,2.248,31.453,13.517,3.083,6.168,46.29,9.243,0.0,9.648,7.253,3.154,10.117,18.108,5.878,1.94,5.443,269.534,62.168,32.912,23.245,11.948,11.412,3.099,9.191,9.36,35.899,11.293,3.374,23.062,42.209,42.695,8.825,62.264,15.878,23.234,21.838,34.985,13.573,45.053,20.937,32.219,170.389,72.295,0.0,55.31,53.733,47.012,47.834,84.813,70.498,8.304,3.788,2.896,5.67,22.733,38.167,42.185,10.95,3.483,19.048,13.886,44.102,85.051,118.601,23.717,37.25,4.762,15.631,31.653,323.661,39.412,39.962,23.534,114.054,6.805,5.949,2037.934,20.243,15.742,2.885,55.652,4.212,39.874,38.034,39.023,86.448,7.174,50.919,9.249,28.468,27.87,17.854,25.528,99.971,227.821,12.89,85.532,14.643,261.976,13.624,29.878,1.9,7.349,36.798,57.627,16.442,,13.247,4.089,13.527,8.569,16.751,4.605,6.303,55.932,2.803,34.47,2.926,11.312,114.426,7.03,4.835,11.622,41.441,5.035,18.517,6.197,9.799,13.637,7.039,5.982,24.532,11.877,10.158,2.32,63.162,4.419,3.79,30.633,30.653,3.723,3.248,14.469,5.093,3.178,314.941,9.101,4.694,135.544,105.331
2021-02-08,20.553,24.563,8.056,28.929,6.741,7.117,10.009,4.239,12.958,79.918,19.569,12.964,6.9,33.155,5.196,7.969,29.894,8.696,7.03,4.811,81.982,20.067,3.748,2.909,250.678,17.596,228.979,4.206,4.222,8.89,3.542,1.91,1.996,27.825,4.856,41.469,454.411,5.622,12.878,7.834,13.687,1.808,17.748,3.67,5.304,6.656,6.072,19.365,21.06,4.141,2.248,30.08,13.404,3.092,6.116,45.09,9.424,0.0,9.517,7.576,3.109,9.792,16.339,5.6,1.95,5.417,278.109,61.704,31.807,23.993,11.867,11.43,3.09,9.051,8.93,35.704,11.075,3.301,21.932,45.511,39.65,9.099,64.006,15.62,23.798,20.3,36.01,12.635,43.641,19.793,30.44,178.618,74.751,0.0,55.414,52.672,45.814,48.701,80.602,72.587,8.652,3.862,2.882,5.97,22.666,37.682,43.067,11.441,3.5,19.171,14.633,44.905,87.8,111.799,23.919,33.135,4.914,15.415,30.234,330.782,39.275,39.685,23.435,107.749,6.876,5.819,2048.452,20.458,15.561,2.838,55.3,4.185,39.386,38.981,39.043,88.597,7.123,50.056,9.398,29.472,26.945,17.575,24.676,103.934,241.454,12.248,82.665,14.792,262.643,13.54,28.336,1.85,7.252,37.207,55.571,16.383,,12.986,4.22,14.164,8.342,15.776,4.627,6.591,56.684,2.533,32.925,2.983,11.095,116.047,7.36,4.967,11.312,41.659,4.995,19.012,6.23,9.431,13.587,6.71,6.197,22.877,11.506,9.739,2.349,62.949,4.444,3.873,32.067,30.717,3.755,3.248,14.418,5.042,3.178,326.144,9.201,4.689,138.366,103.688
2021-02-09,20.463,24.554,7.948,28.632,6.656,7.403,10.982,4.239,14.172,80.19,20.993,13.126,6.676,33.336,5.599,8.946,30.248,8.765,7.91,4.802,89.753,20.345,3.715,2.936,251.496,18.349,221.449,4.242,4.213,9.578,3.542,1.91,2.041,27.555,4.742,41.35,466.746,5.622,12.908,7.853,14.352,1.817,17.738,3.679,5.393,6.682,5.919,19.571,21.304,4.123,2.28,30.413,13.482,3.118,6.133,48.905,9.827,0.0,9.473,8.247,3.145,10.596,16.408,5.639,2.0,5.408,276.392,60.144,31.752,24.342,12.163,11.79,3.099,9.107,9.0,36.244,11.255,3.337,23.37,45.794,41.452,9.193,62.565,15.432,23.967,20.539,36.586,13.331,45.557,19.582,30.017,181.452,79.579,0.0,56.009,53.75,47.667,45.779,81.932,75.72,8.644,3.847,2.903,6.18,22.926,40.731,43.215,11.417,3.509,18.731,14.221,44.13,88.16,120.398,24.707,36.462,5.044,16.388,32.267,368.134,40.205,39.989,23.415,114.083,7.079,5.819,2076.326,20.838,15.792,2.857,55.868,4.239,39.865,39.913,39.417,84.335,7.191,50.392,9.442,30.293,27.545,17.609,24.073,108.8,246.021,12.289,83.964,15.271,263.896,13.995,27.642,1.86,7.34,38.181,56.928,16.442,,13.18,4.184,14.289,8.159,16.848,4.641,6.667,55.883,2.533,33.309,2.933,11.122,117.8,7.75,5.055,11.441,42.228,4.945,19.73,6.281,9.413,13.645,6.929,6.204,24.503,11.456,9.888,2.334,62.025,4.461,3.843,31.903,29.705,3.794,3.275,14.478,5.05,3.194,339.566,10.002,4.62,138.358,106.047
2021-02-10,20.306,24.232,7.987,29.421,6.731,7.631,11.554,4.312,15.098,84.569,21.49,13.23,6.718,36.686,5.984,9.18,29.962,8.973,8.034,4.847,96.044,20.484,3.757,2.973,256.415,18.564,219.574,4.233,4.231,9.608,3.542,1.96,2.076,28.51,5.094,41.385,470.954,5.641,13.007,8.019,15.093,1.817,17.498,3.67,5.546,6.831,6.196,21.035,21.701,4.225,2.296,31.629,13.778,3.136,6.246,49.359,9.959,0.0,9.605,8.745,3.162,10.867,17.82,6.017,2.01,5.417,285.834,64.172,32.387,23.494,12.298,12.123,3.126,9.293,9.22,37.969,11.521,3.41,24.034,46.569,46.385,9.451,65.874,16.811,24.259,21.146,36.298,14.01,49.085,20.233,30.748,183.593,79.208,107.99,57.246,55.217,48.745,49.675,84.49,75.864,8.619,3.825,2.976,6.18,23.413,42.34,43.933,11.351,3.518,18.784,14.427,44.858,89.346,122.395,25.496,38.593,4.993,17.509,32.697,370.447,44.787,41.909,24.328,110.785,7.088,6.135,2178.179,20.779,15.932,2.867,56.732,4.293,41.174,39.688,41.28,88.262,7.234,52.204,9.468,29.865,27.712,17.848,24.242,109.899,260.942,12.911,82.498,15.357,270.561,14.064,29.714,1.89,7.243,38.331,63.921,16.24,,13.537,4.184,14.405,8.29,17.132,4.663,6.72,59.339,2.66,34.133,2.947,11.258,120.344,7.76,5.53,11.622,41.194,5.035,19.93,6.307,9.56,13.78,7.053,6.154,27.043,11.717,10.018,2.334,61.504,4.511,3.918,31.655,30.261,3.818,3.311,14.821,5.237,3.225,336.483,10.449,4.729,141.087,111.487
2021-02-18,19.811,24.52,8.342,30.516,6.853,7.833,12.158,4.34,15.57,88.02,21.954,13.362,7.099,36.962,6.211,10.489,31.284,9.043,8.283,4.891,97.069,20.077,3.807,2.991,279.958,18.441,233.963,4.242,4.333,9.608,3.648,2.1,2.368,28.924,5.077,42.786,470.769,5.65,13.622,8.102,16.78,1.835,17.498,3.706,5.663,7.015,6.263,21.192,21.647,4.318,2.304,31.472,14.004,3.153,6.281,50.435,10.214,0.0,10.166,9.555,3.234,11.989,19.877,6.485,2.06,5.548,304.28,62.03,32.985,24.272,12.818,13.941,3.189,9.591,10.3,39.162,13.076,3.483,25.315,49.533,50.274,10.031,64.528,16.99,24.287,21.7,36.179,14.92,53.847,20.963,33.796,196.354,83.493,113.431,62.224,58.318,49.759,51.935,87.034,83.782,8.724,3.885,3.23,6.25,23.656,44.76,43.426,11.384,3.604,19.522,14.555,47.59,91.146,132.331,25.478,42.448,5.152,18.067,35.139,379.084,46.897,43.192,25.034,123.2,7.291,6.172,2268.444,21.082,16.204,2.914,59.185,4.579,41.555,41.024,44.147,87.763,7.338,53.136,9.538,31.088,28.48,17.786,23.872,114.824,269.698,12.855,88.129,15.742,299.617,14.42,29.994,2.07,7.349,39.647,64.669,16.695,,13.634,4.162,14.678,8.561,18.435,4.728,6.682,61.51,2.596,35.566,2.998,11.576,122.898,7.96,5.732,12.147,42.703,5.104,19.9,6.434,9.725,13.855,7.265,6.125,29.804,12.205,10.344,2.386,64.346,4.587,3.985,33.799,31.227,3.858,3.401,15.001,5.44,3.434,371.88,12.107,4.986,146.14,112.031
2021-02-19,19.778,25.156,8.391,30.033,7.416,7.706,11.256,4.34,14.712,78.07,20.791,13.22,7.215,35.308,5.949,11.329,31.562,9.072,8.132,4.927,93.947,19.859,3.84,3.028,250.678,19.064,226.877,4.242,4.37,9.688,3.686,2.1,2.368,28.712,5.077,42.331,434.727,5.836,13.542,8.037,16.733,1.861,17.108,3.787,5.447,6.953,6.301,20.869,20.328,4.29,2.336,31.266,13.926,3.188,6.272,48.158,10.255,0.0,10.104,9.14,3.269,12.344,19.042,6.564,2.1,5.609,286.349,57.261,31.945,23.245,13.177,13.95,3.162,9.582,11.2,36.004,14.384,3.729,25.768,44.234,48.377,10.093,63.277,16.841,24.409,20.769,36.256,14.26,52.938,20.057,31.883,180.625,80.551,107.381,56.914,53.538,50.699,48.409,82.515,77.006,8.749,3.9,3.201,6.29,23.354,42.322,43.426,11.679,3.639,19.329,15.017,45.397,85.558,128.365,25.391,39.849,5.109,17.414,34.532,370.447,45.536,42.814,26.056,122.757,7.309,6.293,2148.517,21.345,16.409,3.074,54.555,4.427,41.34,40.457,42.324,83.447,7.389,50.409,9.757,28.818,28.725,18.597,23.695,113.278,252.185,12.904,79.789,15.749,296.964,14.511,28.731,1.98,7.41,38.289,61.512,16.543,,13.595,4.191,14.545,8.482,17.992,4.706,6.659,59.231,2.62,34.536,3.005,11.779,115.915,8.07,5.723,11.949,42.703,5.124,20.418,6.442,9.698,13.822,7.958,6.161,27.783,12.112,10.288,2.371,64.741,4.57,3.903,33.617,31.71,3.85,3.383,14.889,5.279,3.364,356.221,12.453,5.23,132.225,101.738
