secID,publishDate,endDate,tRevenue,revenue,COGS,operateProfit,TProfit,NIncome,NIncomeAttrP,basicEPS,sellExp,adminExp
000001.XSHE,2025-03-15,2024-12-31,146695000000.0,146695000000.0,91489000000.0,55206000000.0,54738000000.0,44508000000.0,44508000000.0,2.15,,
000001.XSHE,2025-03-15,2023-12-31,164699000000.0,164699000000.0,106771000000.0,57928000000.0,57718000000.0,46455000000.0,46455000000.0,2.25,,
000001.XSHE,2024-03-15,2023-12-31,164699000000.0,164699000000.0,106771000000.0,57928000000.0,57718000000.0,46455000000.0,46455000000.0,2.25,,
000001.XSHE,2024-03-15,2022-12-31,179895000000.0,179895000000.0,122420000000.0,57475000000.0,57253000000.0,45516000000.0,45516000000.0,2.2,,
000001.XSHE,2023-03-09,2022-12-31,179895000000.0,179895000000.0,122420000000.0,57475000000.0,57253000000.0,45516000000.0,45516000000.0,2.2,,
000001.XSHE,2023-03-09,2021-12-31,169383000000.0,169383000000.0,123398000000.0,45985000000.0,45879000000.0,36336000000.0,36336000000.0,1.73,,
000001.XSHE,2022-03-10,2021-12-31,169383000000.0,169383000000.0,123398000000.0,45985000000.0,45879000000.0,36336000000.0,36336000000.0,1.73,,
000002.XSHE,2025-04-01,2024-12-31,343176440712.96,343176440712.96,308264871439.5,-45643796280.61,-47186559181.39,-48703934402.33,-49478429211.96,-4.17,10383570472.95,6902049676.96
000002.XSHE,2025-04-01,2023-12-31,465739076702.23,465739076702.23,394783859517.79,29251702064.41,29805428126.44,20455558414.74,12162684368.86,1.03,12272115679.08,6302935358.37
000002.XSHE,2024-03-29,2023-12-31,465739076702.23,465739076702.23,394783859517.79,29251702064.41,29805428126.44,20455558414.74,12162684368.86,1.03,12272115679.08,6302935358.37
000002.XSHE,2024-03-29,2022-12-31,503838367358.76,503838367358.76,405319286979.64,52029046369.66,52408296126.75,37612558798.7,22688551801.52,1.96,12412367172.83,10270000083.11
000002.XSHE,2023-03-31,2022-12-31,503838367358.76,503838367358.76,405319286979.64,52006935659.54,52386185416.63,37550909305.14,22617778516.45,1.95,12412367172.83,10270000083.11
000002.XSHE,2023-03-31,2021-12-31,452797773974.14,452797773974.14,353977137972.14,52530997237.25,52222631202.95,38069527018.02,22524033383.22,1.94,12808639133.72,10884648107.2
